GameID;Date;Edition;LocalTime;HomeTeam;HomeTeamCode;AwayTeam;AwayTeamCode;HomeTeamScore;AwayTeamScore;Score (1X2);1,00;X;2,00;Group;Stage;;;;;;;;;;
1;09.06.06;2006;18:00;Germany;GER;Costa Rica;CRI;4;2;1;1,26;4,94;11,36;A;1st stage;;;;;;;;;;
2;09.06.06;2006;21:00;Poland;POL;Ecuador;ECU;0;2;2;1,90;3,25;3,75;A;1st stage;;;;;;;;;;
3;10.06.06;2006;15:00;England;ENG;Paraguay;PAR;1;0;1;1,61;3,36;5,94;B;1st stage;;;;;;;;;;
4;10.06.06;2006;18:00;Trinidad & Tobago;TTO;Sweden;SWE;0;0;X;;;;B;1st stage;;;;;;;;;;
5;10.06.06;2006;21:00;Argentina;ARG;Ivory Cost;CIV;2;1;1;;;;C;1st stage;;;;;;;;;;
6;11.06.06;2006;15:00;Serbia & Montenegro;SRM;Netherlands;NED;0;1;2;4,12;3,06;1,89;C;1st stage;;;;;;;;;;
7;11.06.06;2006;18:00;Mexico;MEX;Iran;IRN;3;1;1;;;;D;1st stage;;;;;;;;;;
8;11.06.06;2006;21:00;Angola;AGO;Portugal;POR;0;1;2;9,00;3,75;1,33;D;1st stage;;;;;;;;;;
9;12.06.06;2006;15:00;Australia;AUS;Japan;JPN;3;1;2;2,50;3,15;2,80;E;1st stage;;;;;;;;;;
10;12.06.06;2006;18:00;USA;USA;Czech Republic;CZ;0;3;2;;;;E;1st stage;;;;;;;;;;
11;12.06.06;2006;21:00;Italy;ITA;Ghana;GHA;2;0;1;1,50;3,30;6,50;F;1st stage;;;;;;;;;;
12;13.06.06;2006;21:00;Brazil;BRA;Croatia;CRO;1;0;1;1,40;3,50;8,00;F;1st stage;;;;;;;;;;
13;13.06.06;2006;18:00;France;FRA;Switzerland;SUI;0;0;X;1,65;3,25;5,40;G;1st stage;;;;;;;;;;
14;13.06.06;2006;15:00;South Korea;KOR;Togo;TOG;2;1;1;2,04;2,87;3,50;G;1st stage;;;;;;;;;;
15;14.06.06;2006;15:00;Spain;ESP;Ukraine;UKR;4;0;1;1,80;3,00;4,33;H;1st stage;;;;;;;;;;
16;14.06.06;2006;18:00;Tunisia;TUN;Saudi Arabia;KSA;2;2;X;;;;H;1st stage;;;;;;;;;;
17;14.06.06;2006;21:00;Germany;GER;Poland;POL;1;0;1;;;;A;1st stage;;;;;;;;;;
18;15.06.06;2006;15:00;Sweden;SWE;Paraguay;PAR;1;0;1;1,90;3,10;3,60;A;1st stage;;;;;;;;;;
19;15.06.06;2006;18:00;England;ENG;Trinidad & Tobago;TTO;2;0;1;1,13;5,50;15,00;B;1st stage;;;;;;;;;;
