Match_ID;Date;HomeTeam;AwayTeam;Home Team Goals;Away Team Goals;Match Result;Referee;Home ex-rank;Home Team Shots;Away ex-rank;Away Team Shots;Home Team Shots on Target;Away Team Shots on Target;Home Fouls Committed;Away Fouls Committed;Home Corners;Away Cornners;Home Yellow Cards;Away Yellow Cards;Home Red Cards;Away Red Cards;B365 Home;B365 Draw;B365 Away;Bet&Win Home;Bet&Win Draw;Bet&Win Away;Interwetten Home;Iterwetten Draw;Interwetten Away;William Hill Home;William Hill Draw;William Hill Away;VC Bet Home;VC Bet Draw;VC Bet Away;Betbrain Numbers of bookmakers 1X2;Betbrain Maximum Home;Betbrain Average Home;Betbrain Maximum Draw;Betbrain Average Draw;Betbrain Maximum Away;Betbrain Average Away;Betbrain Numbers of bookmakers Goals;Betbrain Max > 2.5 Goals;Betbrain Average > 2.5 Goals;Betbrain Max < 2.5 Goals;Betbrain Average < 2.5 Goals
3812;18.08.18;Chelsea;Arsenal;3;2;H;M Atkinson;5;24;6;15;11;6;12;9;5;1;0;2;0;0;1.8;4;4.5;1.78;3.8;4.5;1.8;3.8;4.2;1.83;3.75;4;1.8;4;4.5;41;1.87;1.81;4.02;3.85;4.54;4.29;39;1.75;1.68;2.25;2.17
3839;02.09.18;Cardiff;Arsenal;2;3;A;A Taylor;22;14;6;17;3;11;12;14;3;9;3;4;0;0;6.5;4.33;1.57;6;4;1.57;5.4;3.8;1.65;5.5;4.33;1.53;6.5;4.33;1.55;38;6.6;6;4.54;4.22;1.65;1.56;36;1.81;1.76;2.16;2.07
3845;15.09.18;Newcastle;Arsenal;1;2;A;L Probert;10;4;6;12;2;2;13;11;10;4;0;0;0;0;4.2;3.8;1.9;4;3.6;1.91;4;3.6;1.9;3.75;3.7;1.91;4.1;3.75;1.95;39;4.2;4.01;3.9;3.72;1.97;1.91;37;1.76;1.71;2.25;2.14
3878;07.10.18;Fulham;Arsenal;1;5;A;P Tierney;23;21;6;9;4;7;11;12;4;2;2;0;0;0;5.25;4.33;1.66;5;4.33;1.62;4.6;4.35;1.65;4.4;4.2;1.7;5;4.4;1.67;34;5.25;4.85;4.5;4.31;1.71;1.66;29;1.46;1.42;3;2.8
3898;28.10.18;Crystal Palace;Arsenal;2;2;D;M Atkinson;11;16;6;7;3;2;10;16;6;4;1;2;0;0;4.75;4.1;1.75;4.33;3.9;1.78;4.4;3.7;1.8;4.2;4.2;1.75;4.75;4.1;1.73;38;4.75;4.39;4.26;4.07;1.8;1.76;33;1.65;1.6;2.45;2.33
3928;25.11.18;Bournemouth;Arsenal;1;2;A;C Pawson;12;11;6;20;5;4;6;9;5;8;2;1;0;0;3.5;3.75;1.95;3.5;3.75;2;3.7;3.5;2;3.5;3.8;2;3.5;3.9;2.05;38;3.7;3.5;4;3.77;2.11;2.03;33;1.55;1.49;2.75;2.59
3948;05.12.18;Man United;Arsenal;2;2;D;A Marriner;2;10;6;9;7;4;13;10;4;4;3;3;0;0;2.45;3.5;3;2.3;3.6;2.95;2.4;3.3;2.95;2.38;3.5;2.9;2.45;3.5;2.9;38;2.52;2.4;3.6;3.48;3.05;2.93;35;1.65;1.62;2.42;2.3
3970;16.12.18;Southampton;Arsenal;3;2;H;C Kavanagh;17;12;6;13;7;4;12;10;4;5;3;1;0;0;4.1;3.9;1.9;4;3.7;1.9;3.75;3.8;1.9;3.9;3.75;1.91;4;3.9;1.95;36;4.1;3.84;3.95;3.8;1.98;1.93;33;1.64;1.6;2.42;2.33
3981;26.12.18;Brighton;Arsenal;1;1;D;A Taylor;15;12;6;7;3;4;10;4;4;9;2;1;0;0;5.25;3.9;1.72;5.25;3.9;1.67;4.85;3.85;1.7;5;3.8;1.7;5.25;3.9;1.75;37;5.33;5.04;4.05;3.84;1.77;1.71;35;1.8;1.75;2.2;2.08
3994;29.12.18;Liverpool;Arsenal;5;1;H;M Oliver;4;15;6;8;10;2;8;13;5;3;1;2;0;0;1.5;4.5;5.75;1.5;4.6;6;1.53;4.5;5.7;1.47;4.75;6.5;1.5;4.8;7;37;1.53;1.49;5.15;4.74;7;6.25;35;1.56;1.51;2.74;2.55
