Match_ID;Date;HomeTeam;AwayTeam;Home ex-Rank;Home Team Goals;Away ex-Rank;Away Team Goals;Match Result;Referee;Home Team Shots;Away Team Shots;Home Team Shots on Target;Away Team Shots on Target;Home Fouls Committed;Away Fouls Committed;Home Corners;Away Corners;Home Yellow Cards;Away Yellow Cards;Home Red Cards;Away Red Cards;B365 Home;B365 Draw;B365 Away;Bet&Win Home;Bet&Win Draw;Bet&Win Away;Interwetten Home;Interwetten Draw;Interwetten Away;William Hill Home;William Hill Draw;William Hill Away;VC Bet Home;VC Bet Draw;VC Bet Away;Betbrain Numbers of bookmakers 1X2;Betbrain Maximum Home;Betbrain Average Home;Betbrain Maximum Draw;Betbrain Average Draw;Betbrain Maximum Away;Betbrain Average Away;Betbrain Numbers of bookmakers Goals;Betbrain Max > 2.5 Goals;Betbrain Average > 2.5 Goals;Betbrain Max < 2.5 Goals;Betbrain Average < 2.5 Goals;;;;;;;;;;;;;;;;;;;;;
1;16.08.08;Arsenal;West Brom;6;1;18;0;H;H Webb;24;5;14;4;11;8;7;5;0;0;0;0;1.2;6.5;15;1.22;5.5;10;1.2;5.2;11;1.17;5.5;12;1.25;6;13;40;1.26;1.22;6.25;5.6;17;13.52;37;1.71;1.65;2.25;2.14;;;;;;;;;;;;;;;;;;;;;
2;16.08.08;Bolton;Stoke;16;3;19;1;H;C Foy;14;8;8;2;13;12;4;3;1;2;0;0;1.83;3.5;4.5;1.75;3.3;4.4;1.75;3.3;4.2;1.8;3.1;4;1.85;3.4;4.8;44;1.87;1.81;3.51;3.35;5.3;4.54;37;2.33;2.16;1.7;1.64;;;;;;;;;;;;;;;;;;;;;
3;16.08.08;Everton;Blackburn;5;2;7;3;A;A Marriner;10;15;5;11;11;9;3;5;2;2;0;0;2;3.3;4;1.85;3.25;4;2;3.2;3.3;1.95;3.1;3.5;2.05;3.3;4;44;2.06;1.98;3.39;3.25;4.21;3.86;37;2.34;2.17;1.7;1.63;;;;;;;;;;;;;;;;;;;;;
4;16.08.08;Hull;Fulham;20;2;17;1;H;P Walton;11;12;6;6;10;9;5;6;3;0;0;0;2.6;3.2;2.8;2.45;3.15;2.65;2.4;3.2;2.6;2.5;2.9;2.62;2.6;3.4;2.8;44;2.7;2.56;3.38;3.23;2.89;2.68;37;2.32;2.15;1.69;1.64;;;;;;;;;;;;;;;;;;;;;
5;16.08.08;Middlesbrough;Tottenham;13;2;11;1;H;M Atkinson;14;8;10;5;11;12;7;9;1;2;0;0;3.2;3.4;2.25;2.8;3.2;2.3;2.9;3.2;2.2;2.9;3.2;2.15;3.2;3.4;2.3;44;3.57;3.19;3.55;3.31;2.3;2.2;37;1.9;1.81;2.12;1.92;;;;;;;;;;;;;;;;;;;;;
6;16.08.08;Sunderland;Liverpool;15;0;4;1;A;A Wiley;6;14;3;8;13;12;1;8;0;2;0;0;5.5;3.6;1.67;5;3.35;1.67;4.5;3.5;1.65;5.5;3.3;1.57;5.5;3.8;1.65;43;5.91;5.24;3.75;3.5;1.76;1.68;37;2.22;2.08;1.76;1.69;;;;;;;;;;;;;;;;;;;;;
7;16.08.08;West Ham;Wigan;10;2;14;1;H;S Bennett;15;22;8;9;14;11;6;10;2;1;0;0;1.91;3.4;4.2;1.9;3.2;3.8;1.8;3.3;3.8;1.83;3.2;3.75;1.9;3.5;4.35;44;2.09;1.94;3.4;3.27;4.4;3.98;37;2.22;2.1;1.75;1.68;;;;;;;;;;;;;;;;;;;;;
8;17.08.08;Aston Villa;Man City;6;4;9;2;H;P Dowd;14;13;10;8;8;11;7;8;0;1;0;0;1.91;3.4;4.33;1.95;3.2;3.6;2;3.2;3.3;1.91;3.2;3.5;1.9;3.5;4.35;42;2;1.84;3.55;3.32;5.05;4.36;34;2.33;2.12;1.73;1.66;;;;;;;;;;;;;;;;;;;;;
9;17.08.08;Chelsea;Portsmouth;2;4;8;0;H;M Dean;18;12;11;8;10;6;8;3;0;1;0;0;1.33;5;10;1.3;4.75;8.25;1.3;4.4;8.5;1.3;4.2;8.5;1.33;5;11;40;1.36;1.32;5.2;4.69;12;10.05;36;2.01;1.9;1.93;1.83;;;;;;;;;;;;;;;;;;;;;
10;17.08.08;Man United;Newcastle;1;1;12;1;D;M Riley;18;11;12;4;15;11;6;6;3;0;0;0;1.29;5.5;11;1.3;4.75;8.25;1.3;4.4;8.5;1.25;4.5;10;1.28;5.5;12;40;1.32;1.28;5.5;5.03;13;11;36;1.83;1.72;2.2;2.03;;;;;;;;;;;;;;;;;;;;;
11;23.08.08;Blackburn;Hull;7;1;20;1;D;S Attwell;12;7;5;4;11;15;6;3;0;1;0;0;1.57;3.75;7;1.55;3.45;6;1.6;3.6;4.8;1.57;3.8;6;1.55;3.75;7;43;1.62;1.58;3.91;3.64;7.42;6.16;37;2.1;1.98;1.9;1.76;;;;;;;;;;;;;;;;;;;;;
12;23.08.08;Fulham;Arsenal;17;1;3;0;H;M Atkinson;5;15;2;6;14;6;1;5;2;0;0;0;6.5;3.75;1.57;6;3.45;1.55;5;3.5;1.6;6;3.8;1.57;6.5;3.9;1.55;42;6.8;6.09;3.91;3.65;1.63;1.58;37;2.08;1.95;1.89;1.8;;;;;;;;;;;;;;;;;;;;;
